id,date,departureTime,arrivalTime,flightNumber,from_code,from,to_code,to,availableSeats,distance,hours,minutes,price
1,2021/12/18,517,830,1545,ARV,Minocqua - Woodruff,GYR,Goodyear,200,1400,5,15,109.79
2,2021/11/13,533,850,1714,AZO,Kalamazoo,FHU,Fort Huachuca,200,1416,5,29,139.04
3,2021/5/12,542,923,1141,XPP,Poplar River,WAF,Wana,200,1089,5,40,17.28
4,2021/8/30,544,1004,725,YWY,Wrigley,XKS,Kasabonika,200,1576,5,45,171.83
5,2021/7/17,554,812,461,JRF,Kapolei,HTG,Khatanga,200,762,6,0,190.7
6,2021/11/2,554,740,1696,YFX,St. Lewis,SZG,Salzburg,200,719,5,58,147.59
7,2021/9/21,555,913,507,BGE,Bainbridge,DRO,Durango,200,1065,6,0,187.95
8,2021/5/8,557,709,5708,LSE,La Crosse,FSP,St.-pierre,200,229,6,0,132.93
9,2021/5/4,557,838,79,BLA,Barcelona,POF,Poplar Bluff,200,944,6,0,154.08
10,2021/9/28,558,753,301,NST,Nakhon Si Thammarat,OSP,Slupsk,200,733,6,0,117.35
11,2021/12/18,558,849,49,ZAL,Valdivia,NVA,Neiva,200,1028,6,0,172.53
12,2021/7/27,558,853,71,CAP,Cap Haitien,ADT,Ada,200,1005,6,0,196.87
13,2021/9/30,558,924,194,CWC,Chernovtsk,BJP,Braganca Paulista,200,2475,6,0,100.56
14,2021/11/23,558,923,1124,GUU,Grundarfjordur,MDG,Mudanjiang,200,2565,6,0,79.28
15,2021/10/20,559,941,707,DLU,Dali,MHA,Mahdia,200,1389,6,0,18.9
16,2021/7/16,559,702,1806,SOV,Seldovia,KTM,Kathmandu,200,187,5,59,40.66
17,2021/10/27,559,854,1187,LNJ,Lincang,XGN,Xangongo,200,2227,6,0,198.61
18,2021/9/11,600,851,371,CVO,Corvallis,PUW,Pullman,200,1076,6,0,136.6
19,2021/6/12,600,837,4650,ELF,El Fasher,URC,Urumqi,200,762,6,0,140.66
20,2021/11/14,601,844,343,VNS,Varanasi,MKS,Mekane Selam,200,1023,6,0,72.51
